name,formatted_address,rating,user_ratings_total,latitude,longitude
Whole Foods Market,"2693 Edmondson Rd, Cincinnati, OH 45209, United States",4.2,1185,39.14554589999999,-84.44704949999999
Whole Foods Market,"5805 Deerfield Blvd, Mason, OH 45040, United States",4.3,909,39.3076923,-84.31652650000001
Whole Foods Market,"1050 Miamisburg Centerville Rd, Dayton, OH 45458, United States",4.4,1596,39.6269159,-84.19007789999999
Whole Foods Market,"5901 E Galbraith Rd Ste 105, Cincinnati, OH 45236, United States",4.4,438,39.2050068,-84.3741098
Whole Foods Market,"1555 W Lane Ave, Upper Arlington, OH 43221, United States",4.4,1043,40.006545,-83.05268889999999
Whole Foods Market,"3670 W Granville Rd, Columbus, OH 43235, United States",4.5,1545,40.0986537,-83.0863817
Whole Foods Market,"4100 Easton Gateway Dr, Columbus, OH 43219, United States",4.4,1906,40.0570337,-82.90956109999999
Whole Foods Market,"50 Wall St, Orange, OH 44122, United States",4.4,1241,41.449988,-81.4850716
Whole Foods Market,"1745 W Market St, Akron, OH 44313, United States",4.3,1245,41.1109025,-81.5711335
Whole Foods Market,"13998 Cedar Rd, University Heights, OH 44118, United States",4.4,1581,41.50088969999999,-81.5368155
Whole Foods Market,"19607 Detroit Rd, Rocky River, OH 44116, United States",4.4,1422,41.4787484,-81.8396406
