STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Concat_cou,Concat_c_1,Concat_c_2,Concat_c_3,Concat_c_4,Concat_c_5,Concat_c_6,Concat_c_7,Concat_c_8,Concat_c_9,Concat_c10,Concat_c11,Concat_c12,Concat_c13,Concat_c14,Concat_c15,Concat_c16,Concat_c17,Concat_c18,Concat_c19,Concat_c20,Concat_c21,Concat_c22,Concat_c23,Concat_c24,Concat_c25,Concat_c26,Concat_c27,TPop_Int,lat,long
"39","153","533400","39153533400","5334",Census Tract 5334,G5020,S,"22584762","567690","+41.0808416","-081.6157616",153_533400,153_533400,,153_533400,Summit County,"Census Tract 5334, Summit County, Ohio","551","36","162","227","126","4296","78","195","1004","1242","218","994","565","4023","1559","729","723","238","507","479","186","1749","39","153","533400","5714",153_533400,"5714",41.085611,-81.616321
"39","153","533501","39153533501","5335.01",Census Tract 5335.01,G5020,S,"10420025","14222","+41.1256541","-081.6616867",153_533501,153_533501,,153_533501,Summit County,"Census Tract 5335.01, Summit County, Ohio","478","36","232","78","132","5796","80","34","690","492","208","2349","1943","5682","4292","809","809","732","1088","1088","895","2653","39","153","533501","8260",153_533501,"8260",41.124810,-81.661531
"39","153","533502","39153533502","5335.02",Census Tract 5335.02,G5020,S,"21119082","249136","+41.0904593","-081.6631372",153_533502,153_533502,,153_533502,Summit County,"Census Tract 5335.02, Summit County, Ohio","119","15","49","47","8","2910","28","65","828","517","276","783","413","2817","1196","416","412","190","428","428","195","937","39","153","533502","3881",153_533502,"3881",41.087075,-81.665350
"39","035","109301","39035109301","1093.01",Census Tract 1093.01,G5020,S,"762868","0","+41.4947585","-081.6700295",035_109301,35_109301,,35_109301,Cuyahoga County,"Census Tract 1093.01, Cuyahoga County, Ohio","49","26","7","16","0","1352","42","306","581","249","85","24","65","1004","89","320","244","8","64","41","0","751","39","35","109301","1487",35_109301,"1487",41.494758,-81.670029
"39","035","109801","39035109801","1098.01",Census Tract 1098.01,G5020,S,"745959","0","+41.4874246","-081.6552835",035_109801,35_109801,,35_109801,Cuyahoga County,"Census Tract 1098.01, Cuyahoga County, Ohio","182","49","70","40","23","1081","57","204","383","375","51","11","0","820","11","486","391","0","126","85","0","314","39","35","109801","2454",35_109801,"2454",41.487425,-81.655284
"39","035","196200","39035196200","1962",Census Tract 1962,G5020,S,"2021401","0","+41.5920932","-081.4959753",035_196200,35_196200,,35_196200,Cuyahoga County,"Census Tract 1962, Cuyahoga County, Ohio","501","49","69","339","44","2096","0","235","505","553","214","497","92","1861","589","523","510","132","757","707","362","632","39","35","196200","3838",35_196200,"3838",41.592093,-81.495975
"39","035","196300","39035196300","1963",Census Tract 1963,G5020,S,"36518620","495991","+41.4560473","-081.4228040",035_196300,35_196300,,35_196300,Cuyahoga County,"Census Tract 1963, Cuyahoga County, Ohio","77","19","0","37","21","3205","4","17","186","376","193","1068","1361","3184","2429","207","207","173","324","324","264","1420","39","35","196300","3937",35_196300,"3937",41.460823,-81.421734
"39","061","005200","39061005200","52",Census Tract 52,G5020,S,"1196420","0","+39.1509156","-084.4371694",061_005200,61_005200,,61_5200,Hamilton County,"Census Tract 52, Hamilton County, Ohio","391","0","32","93","266","2402","17","36","185","287","88","1031","758","2349","1789","1090","1075","1003","501","501","335","588","39","61","5200","3235",61_5200,"3235",39.150916,-84.437169
"39","061","023901","39061023901","239.01",Census Tract 239.01,G5020,S,"4665315","18888","+39.2555417","-084.3491076",061_023901,61_023901,,61_23901,Hamilton County,"Census Tract 239.01, Hamilton County, Ohio","251","45","71","98","37","3260","40","18","475","480","136","1210","901","3202","2111","408","408","275","514","506","381","1284","39","61","23901","4436",61_23901,"4436",39.254841,-84.348367
"39","113","003100","39113003100","31",Census Tract 31,G5020,S,"1015289","10956","+39.7261521","-084.1469281",113_003100,113_003100,,113_3100,Montgomery County,"Census Tract 31, Montgomery County, Ohio","80","30","18","32","0","2372","56","265","681","687","246","294","143","2051","437","488","446","101","478","404","34","948","39","113","3100","2975",113_3100,"2975",39.726137,-84.147848
"39","113","021700","39113021700","217",Census Tract 217,G5020,S,"1958217","0","+39.6752083","-084.1342164",113_021700,113_021700,,113_21700,Montgomery County,"Census Tract 217, Montgomery County, Ohio","201","9","82","110","0","1762","4","48","423","398","256","440","193","1710","633","340","340","155","235","206","122","567","39","113","21700","2427",113_21700,"2427",39.675208,-84.134217
"39","061","023701","39061023701","237.01",Census Tract 237.01,G5020,S,"1190501","0","+39.2066669","-084.3981095",061_023701,61_023701,,61_23701,Hamilton County,"Census Tract 237.01, Hamilton County, Ohio","200","0","48","97","55","2338","56","127","827","343","203","659","123","2155","782","584","571","281","304","304","99","872","39","61","23701","3038",61_23701,"3038",39.206667,-84.398110
"39","035","195700","39035195700","1957",Census Tract 1957,G5020,S,"16112934","184803","+41.3615153","-081.4912945",035_195700,35_195700,,35_195700,Cuyahoga County,"Census Tract 1957, Cuyahoga County, Ohio","307","2","139","143","23","3404","61","173","1028","756","369","542","475","3170","1017","491","469","190","350","350","112","1396","39","35","195700","4570",35_195700,"4570",41.364148,-81.489682
"39","035","980100","39035980100","9801",Census Tract 9801,G5020,S,"2868413","165997","+41.4823893","-081.6748324",035_980100,35_980100,,35_980100,Cuyahoga County,"Census Tract 9801, Cuyahoga County, Ohio","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","35","980100","0",35_980100,"0",41.482922,-81.673835
"39","113","003201","39113003201","32.01",Census Tract 32.01,G5020,S,"1395312","0","+39.7250051","-084.1585030",113_003201,113_003201,,113_3201,Montgomery County,"Census Tract 32.01, Montgomery County, Ohio","686","52","87","235","312","2412","0","59","484","543","247","679","400","2353","1079","928","928","569","312","312","128","798","39","113","3201","3760",113_3201,"3760",39.725005,-84.158503
"39","035","107701","39035107701","1077.01",Census Tract 1077.01,G5020,S,"1994831","112551","+41.4966025","-081.6883982",035_107701,35_107701,,35_107701,Cuyahoga County,"Census Tract 1077.01, Cuyahoga County, Ohio","976","19","38","438","481","2413","25","185","168","329","59","821","826","2203","1647","1604","1521","1306","430","400","197","313","39","35","107701","3449",35_107701,"3449",41.497439,-81.688431
