name,formatted_address,rating,user_ratings_total,latitude,longitude
Whole Foods Market,"6350 W 3rd St, Los Angeles, CA 90036, United States",4.3,1873,34.0703081,-118.3607133
Whole Foods Market,"2520 Glendale Blvd, Los Angeles, CA 90039, United States",4.2,1437,34.1028814,-118.2584344
Whole Foods Market,"788 S Grand Ave, Los Angeles, CA 90017, United States",4.4,3934,34.0461171,-118.25748
Whole Foods Market,"7881 Edinger Ave #150, Huntington Beach, CA 92647, United States",4.2,1126,33.7311157,-117.9905534
Whole Foods Market,"2847 Park Ave, Tustin, CA 92782, United States",4.3,1412,33.6962131,-117.8254569
Whole Foods Market,"3401 W Olive Ave, Burbank, CA 91505, United States",4.4,1089,34.154388,-118.3371784
Whole Foods Market,"2655 Pacific Coast Hwy, Torrance, CA 90505, United States",4.4,1041,33.7925761,-118.3309445
Whole Foods Market,"711 University Ave, San Diego, CA 92103, United States",4.3,2705,32.748211,-117.1582774
Whole Foods Market,"23932 Aliso Creek Rd, Laguna Niguel, CA 92677, United States",4.1,800,33.5544761,-117.7125327
Whole Foods Market,"2201 Wilshire Blvd, Santa Monica, CA 90403, United States",4.3,955,34.0332265,-118.4812706
Whole Foods Market,"11666 National Blvd, Los Angeles, CA 90064, United States",4.2,1071,34.0224904,-118.4379608
Whole Foods Market,"2153 Base Line Rd, Upland, CA 91784, United States",4.2,964,34.1229416,-117.6925009
Whole Foods Market,"650 Town Center Dr, Oxnard, CA 93036, United States",4.4,1123,34.240193,-119.1793555
Whole Foods Market,"11737 San Vicente Blvd, Los Angeles, CA 90049, United States",4.3,677,34.0536284,-118.4673501
Whole Foods Market,"331 N Glendale Ave, Glendale, CA 91206, United States",4.3,1775,34.1512079,-118.2457485
Whole Foods Market,"3751 E Foothill Blvd, Pasadena, CA 91107, United States",4.3,1133,34.1510865,-118.0721553
Whole Foods Market,"1050 Gayley Ave, Los Angeles, CA 90024, United States",4.3,997,34.0611873,-118.4469309
Whole Foods Market,"20209 Rinaldi St, Chatsworth, CA 91326, United States",4.4,747,34.275659,-118.5747031
Whole Foods Market,"44-459 Town Center Way, Palm Desert, CA 92260, United States",4.2,1175,33.7253682,-116.3998028
Whole Foods Market,"1531 Froom Ranch Way, San Luis Obispo, CA 93405, United States",4.3,841,35.250754,-120.6871188
Whole Foods Market,"3111 Mowry Ave, Fremont, CA 94538, United States",4.3,2410,37.5549521,-121.9852559
Whole Foods Market,"4800 El Camino Real, Los Altos, CA 94022, United States",4.4,2191,37.3990844,-122.1105877
Whole Foods Market,"750 S Ash Ave Ste 101, Tempe, AZ 85281, United States",4.4,997,33.4223669,-111.9432648
Whole Foods Market,"2955 W Ray Rd, Chandler, AZ 85224, United States",4.4,2578,33.3183793,-111.8927755
Whole Foods Market,"7111 E Mayo Blvd, Phoenix, AZ 85054, United States",4.3,2005,33.6537196,-111.9270975
