B01003_001E,NAME,state,county,tract
7479,"Census Tract 111.20, Butler County, Ohio",39,017,011120
5276,"Census Tract 111.22, Butler County, Ohio",39,017,011122
4867,"Census Tract 111.23, Butler County, Ohio",39,017,011123
3697,"Census Tract 111.25, Butler County, Ohio",39,017,011125
5273,"Census Tract 111.26, Butler County, Ohio",39,017,011126
4623,"Census Tract 111.27, Butler County, Ohio",39,017,011127
2893,"Census Tract 111.28, Butler County, Ohio",39,017,011128
4819,"Census Tract 111.29, Butler County, Ohio",39,017,011129
5441,"Census Tract 111.30, Butler County, Ohio",39,017,011130
3386,"Census Tract 111.31, Butler County, Ohio",39,017,011131
3662,"Census Tract 111.32, Butler County, Ohio",39,017,011132
3902,"Census Tract 111.33, Butler County, Ohio",39,017,011133
6746,"Census Tract 111.34, Butler County, Ohio",39,017,011134
5992,"Census Tract 111.35, Butler County, Ohio",39,017,011135
5536,"Census Tract 111.36, Butler County, Ohio",39,017,011136
3233,"Census Tract 111.37, Butler County, Ohio",39,017,011137
8314,"Census Tract 112, Butler County, Ohio",39,017,011200
6173,"Census Tract 113, Butler County, Ohio",39,017,011300
5998,"Census Tract 118, Butler County, Ohio",39,017,011800
3019,"Census Tract 121, Butler County, Ohio",39,017,012100
3490,"Census Tract 122, Butler County, Ohio",39,017,012200
2058,"Census Tract 123, Butler County, Ohio",39,017,012300
2541,"Census Tract 124, Butler County, Ohio",39,017,012400
4841,"Census Tract 125, Butler County, Ohio",39,017,012500
2416,"Census Tract 126, Butler County, Ohio",39,017,012600
3280,"Census Tract 127, Butler County, Ohio",39,017,012700
1604,"Census Tract 130, Butler County, Ohio",39,017,013000
2294,"Census Tract 131, Butler County, Ohio",39,017,013100
3515,"Census Tract 132, Butler County, Ohio",39,017,013200
2204,"Census Tract 133, Butler County, Ohio",39,017,013300
2099,"Census Tract 134, Butler County, Ohio",39,017,013400
2891,"Census Tract 135, Butler County, Ohio",39,017,013500
4135,"Census Tract 136, Butler County, Ohio",39,017,013600
2643,"Census Tract 139, Butler County, Ohio",39,017,013900
2662,"Census Tract 140, Butler County, Ohio",39,017,014000
2255,"Census Tract 141, Butler County, Ohio",39,017,014100
5441,"Census Tract 143, Butler County, Ohio",39,017,014300
2017,"Census Tract 144, Butler County, Ohio",39,017,014400
997,"Census Tract 146, Butler County, Ohio",39,017,014600
4043,"Census Tract 147, Butler County, Ohio",39,017,014700
7489,"Census Tract 148, Butler County, Ohio",39,017,014800
5643,"Census Tract 149, Butler County, Ohio",39,017,014900
7396,"Census Tract 150, Butler County, Ohio",39,017,015000
7536,"Census Tract 151, Butler County, Ohio",39,017,015100
2861,"Census Tract 7201, Carroll County, Ohio",39,019,720100
3258,"Census Tract 7202, Carroll County, Ohio",39,019,720200
5210,"Census Tract 7203, Carroll County, Ohio",39,019,720300
3387,"Census Tract 320, Fairfield County, Ohio",39,045,032000
3288,"Census Tract 321, Fairfield County, Ohio",39,045,032100
3152,"Census Tract 322, Fairfield County, Ohio",39,045,032200
4088,"Census Tract 323, Fairfield County, Ohio",39,045,032300
3269,"Census Tract 325.01, Fairfield County, Ohio",39,045,032501
3113,"Census Tract 325.02, Fairfield County, Ohio",39,045,032502
3588,"Census Tract 326.01, Fairfield County, Ohio",39,045,032601
3375,"Census Tract 326.02, Fairfield County, Ohio",39,045,032602
4591,"Census Tract 327.01, Fairfield County, Ohio",39,045,032701
3784,"Census Tract 327.03, Fairfield County, Ohio",39,045,032703
4229,"Census Tract 327.04, Fairfield County, Ohio",39,045,032704
4341,"Census Tract 328, Fairfield County, Ohio",39,045,032800
5061,"Census Tract 329.01, Fairfield County, Ohio",39,045,032901
6063,"Census Tract 329.02, Fairfield County, Ohio",39,045,032902
4646,"Census Tract 330, Fairfield County, Ohio",39,045,033000
4159,"Census Tract 331.01, Fairfield County, Ohio",39,045,033101
4936,"Census Tract 331.02, Fairfield County, Ohio",39,045,033102
3545,"Census Tract 9258, Fayette County, Ohio",39,047,925800
3321,"Census Tract 9259, Fayette County, Ohio",39,047,925900
3719,"Census Tract 9260, Fayette County, Ohio",39,047,926000
5130,"Census Tract 9261, Fayette County, Ohio",39,047,926100
4743,"Census Tract 9262, Fayette County, Ohio",39,047,926200
3719,"Census Tract 9263, Fayette County, Ohio",39,047,926300
4432,"Census Tract 9264, Fayette County, Ohio",39,047,926400
3489,"Census Tract 1.10, Franklin County, Ohio",39,049,000110
3276,"Census Tract 1.20, Franklin County, Ohio",39,049,000120
3251,"Census Tract 2.10, Franklin County, Ohio",39,049,000210
4013,"Census Tract 2.20, Franklin County, Ohio",39,049,000220
3156,"Census Tract 3.10, Franklin County, Ohio",39,049,000310
2979,"Census Tract 3.20, Franklin County, Ohio",39,049,000320
2715,"Census Tract 3.30, Franklin County, Ohio",39,049,000330
2378,"Census Tract 4.10, Franklin County, Ohio",39,049,000410
3577,"Census Tract 4.20, Franklin County, Ohio",39,049,000420
4447,"Census Tract 5, Franklin County, Ohio",39,049,000500
3731,"Census Tract 6, Franklin County, Ohio",39,049,000600
3846,"Census Tract 7.10, Franklin County, Ohio",39,049,000710
3767,"Census Tract 317, Fairfield County, Ohio",39,045,031700
2667,"Census Tract 7.20, Franklin County, Ohio",39,049,000720
3949,"Census Tract 7.30, Franklin County, Ohio",39,049,000730
2928,"Census Tract 8.10, Franklin County, Ohio",39,049,000810
3191,"Census Tract 8.20, Franklin County, Ohio",39,049,000820
3696,"Census Tract 9.10, Franklin County, Ohio",39,049,000910
2396,"Census Tract 9.20, Franklin County, Ohio",39,049,000920
5650,"Census Tract 10, Franklin County, Ohio",39,049,001000
2912,"Census Tract 11.10, Franklin County, Ohio",39,049,001110
10373,"Census Tract 11.21, Franklin County, Ohio",39,049,001121
3000,"Census Tract 11.22, Franklin County, Ohio",39,049,001122
4557,"Census Tract 9166, Huron County, Ohio",39,077,916600
4938,"Census Tract 9572, Jackson County, Ohio",39,079,957200
3557,"Census Tract 9573, Jackson County, Ohio",39,079,957300
5315,"Census Tract 9574, Jackson County, Ohio",39,079,957400
5755,"Census Tract 9575, Jackson County, Ohio",39,079,957500
2691,"Census Tract 9576, Jackson County, Ohio",39,079,957600
5053,"Census Tract 9577, Jackson County, Ohio",39,079,957700
