STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Concat_cou,Concat_c_1,Concat_c_2,Concat_c_3,Concat_c_4,Concat_c_5,Concat_c_6,Concat_c_7,Concat_c_8,Concat_c_9,Concat_c10,Concat_c11,Concat_c12,Concat_c13,Concat_c14,Concat_c15,Concat_c16,Concat_c17,Concat_c18,Concat_c19,Concat_c20,Concat_c21,Concat_c22,Concat_c23,Concat_c24,Concat_c25,Concat_c26,Concat_c27,TPop_Int,Tract_Lat,Tract_Long
"39","153","533102","39153533102","5331.02",Census Tract 5331.02,G5020,S,"5924402","225599","+41.2444389","-081.4167448",153_533102,153_533102,,153_533102,Summit County,"Census Tract 5331.02, Summit County, Ohio","86","13","8","28","37","1619","0","19","88","115","94","681","622","1600","1303","73","54","46","376","376","340","700","39","153","533102","2418",153_533102,"2418",41.246703,-81.416364
"39","153","533200","39153533200","5332",Census Tract 5332,G5020,S,"16548913","79769","+41.2183195","-081.4164030",153_533200,153_533200,,153_533200,Summit County,"Census Tract 5332, Summit County, Ohio","268","9","125","86","48","3895","17","34","594","461","270","1398","1121","3844","2519","411","399","324","645","645","533","1798","39","153","533200","5479",153_533200,"5479",41.221378,-81.416278
"39","029","951600","39029951600","9516",Census Tract 9516,G5020,S,"96544091","950949","+40.7280614","-080.5859684",029_951600,29_951600,,29_951600,Columbiana County,"Census Tract 9516, Columbiana County, Ohio","528","62","189","259","18","3785","46","184","1570","705","459","503","318","3555","821","485","485","219","619","612","87","1488","39","29","951600","5224",29_951600,"5224",40.728992,-80.583210
"39","093","070600","39093070600","706",Census Tract 706,G5020,S,"2999817","102688","+41.3792056","-082.0923786",093_070600,93_070600,,93_70600,Lorain County,"Census Tract 706, Lorain County, Ohio","479","129","79","207","64","3812","8","332","1180","878","957","309","148","3472","457","729","634","63","787","699","109","1498","39","93","70600","5022",93_70600,"5022",41.379496,-82.091894
"39","093","097100","39093097100","971",Census Tract 971,G5020,S,"154468293","927233","+41.1223503","-082.2635602",093_097100,93_097100,,93_97100,Lorain County,"Census Tract 971, Lorain County, Ohio","171","11","74","23","63","2218","16","114","791","467","331","374","125","2088","499","222","222","89","411","383","180","998","39","93","97100","3076",93_97100,"3076",41.119714,-82.267849
"39","093","010200","39093010200","102",Census Tract 102,G5020,S,"4337885","1552203","+41.5071081","-082.0123970",093_010200,93_010200,,93_10200,Lorain County,"Census Tract 102, Lorain County, Ohio","124","0","31","28","65","2869","14","68","538","614","350","801","484","2787","1285","330","330","192","474","451","270","1220","39","93","10200","4131",93_10200,"4131",41.507807,-82.008076
"39","093","028100","39093028100","281",Census Tract 281,G5020,S,"27824649","254459","+41.4568890","-082.0939705",093_028100,93_028100,,93_28100,Lorain County,"Census Tract 281, Lorain County, Ohio","251","22","120","93","16","3329","104","184","854","842","435","450","460","3041","910","466","402","74","417","356","123","1461","39","93","28100","4299",93_28100,"4299",41.455884,-82.091170
"39","153","531601","39153531601","5316.01",Census Tract 5316.01,G5020,S,"9529931","1696866","+40.9681160","-081.5532167",153_531601,153_531601,,153_531601,Summit County,"Census Tract 5316.01, Summit County, Ohio","245","40","69","83","53","3358","60","131","825","945","379","601","417","3167","1018","525","489","183","505","495","174","1304","39","153","531601","4279",153_531601,"4279",40.968819,-81.548250
"39","153","531602","39153531602","5316.02",Census Tract 5316.02,G5020,S,"11235197","0","+40.9318011","-081.5506479",153_531602,153_531602,,153_531602,Summit County,"Census Tract 5316.02, Summit County, Ohio","213","39","55","98","21","2199","2","85","936","528","249","254","145","2112","399","374","363","79","338","338","95","895","39","153","531602","3315",153_531602,"3315",40.931803,-81.550648
"39","103","404000","39103404000","4040",Census Tract 4040,G5020,S,"34288760","106553","+41.1776954","-081.8225942",103_404000,103_404000,,103_404000,Medina County,"Census Tract 4040, Medina County, Ohio","360","0","131","179","50","3155","10","65","649","801","220","972","438","3080","1410","120","120","99","464","452","246","1531","39","103","404000","4366",103_404000,"4366",41.179841,-81.825253
