Table ID,Table Title,Table Universe,5 Year Geography Restrictions (with Summary Levels in Parentheses)
B01001,SEX BY AGE,Universe: Total population,
B01001A,SEX BY AGE (WHITE ALONE),Universe: People who are White alone,"Excludes Block Group (150,258,293,294)"
B01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,"Excludes Block Group (150,258,293,294)"
B01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,"Excludes Block Group (150,258,293,294)"
B01001D,SEX BY AGE (ASIAN ALONE),Universe: People who are Asian alone,"Excludes Block Group (150,258,293,294)"
B01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,"Excludes Block Group (150,258,293,294)"
B01001F,SEX BY AGE (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,"Excludes Block Group (150,258,293,294)"
B01001G,SEX BY AGE (TWO OR MORE RACES),Universe: People who are Two or More Races,"Excludes Block Group (150,258,293,294)"
B01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population","Excludes Block Group (150,258,293,294)"
B01001I,SEX BY AGE (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,"Excludes Block Group (150,258,293,294)"
B01002,MEDIAN AGE BY SEX,Universe: Total population,Excludes Place/Remainder (070)
B01002A,MEDIAN AGE BY SEX (WHITE ALONE),Universe: People who are White alone,Excludes Place/Remainder (070)
B01002B,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,Excludes Place/Remainder (070)
B01002C,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE) ,Universe: People who are American Indian and Alaska Native alone,Excludes Place/Remainder (070)
B01002D,MEDIAN AGE BY SEX (ASIAN ALONE),Universe: People who are Asian alone,Excludes Place/Remainder (070)
B01002E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,Excludes Place/Remainder (070)
B01002F,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,Excludes Place/Remainder (070)
B01002G,MEDIAN AGE BY SEX (TWO OR MORE RACES),Universe: People who are Two or More Races,Excludes Place/Remainder (070)
B01002H,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population",Excludes Place/Remainder (070)
B01002I,MEDIAN AGE BY SEX (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,Excludes Place/Remainder (070)
B01003,TOTAL POPULATION,Universe: Total population,
B02001,RACE,Universe: Total population,
C02003,DETAILED RACE,Universe: Total population,Excludes Place/Remainder (070)
B02008,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES ,Universe: White alone or in combination with one or more other races,Excludes Place/Remainder (070)
B02009,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Black or African American alone or in combination with one or more other races,Excludes Place/Remainder (070)
B02010,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: People who are American Indian or Alaska Native alone or in combination with one or more other races,Excludes Place/Remainder (070)
B02011,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Asian alone or in combination with one or more other races,Excludes Place/Remainder (070)
B02012,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Excludes Place/Remainder (070)
B02013,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Some other race alone or in combination with one or more other races,Excludes Place/Remainder (070)
B02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,Universe: People who are American Indian and Alaska Native alone and people with no tribe reported,"Excludes Block Group (150,258,293,294)"
B02015,ASIAN ALONE BY SELECTED GROUPS,Universe: Total Asian alone population,"Excludes Block Group (150,258,293,294)"
B02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Universe: Total Native Hawaiian and Other Pacific Islander alone population,"Excludes Block Group (150,258,293,294)"
B02017,AMERICAN INDIAN AND ALASKA NATIVE (AIAN) ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,Universe: Total AIAN alone or in any combination population (the total groups tallied),"Excludes Block Group (150,258,293,294)"
B02018,ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Universe: Total Asian alone or in any combination population (the total groups tallied),"Excludes Block Group (150,258,293,294)"
B02019,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Universe: Total NHPI alone or in any combination population (the total groups tallied),"Excludes Block Group (150,258,293,294)"
B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Universe: Total population,"Excludes Block Group (150,258,293,294)"
B03002,HISPANIC OR LATINO ORIGIN BY RACE,Universe: Total population,Excludes Place/Remainder (070)
B03003,HISPANIC OR LATINO ORIGIN,Universe: Total population,Excludes Place/Remainder (070)
B04004,PEOPLE REPORTING SINGLE ANCESTRY,Universe: People reporting single ancestry,"Excludes Block Group (150,258,293,294)"
B04005,PEOPLE REPORTING MULTIPLE ANCESTRY,Universe: People reporting multiple ancestries,"Excludes Block Group (150,258,293,294)"
B04006,PEOPLE REPORTING ANCESTRY,Universe: Total population,"Excludes Block Group (150,258,293,294)"
B04007,ANCESTRY,Universe: Total population,"Excludes Block Group (150,258,293,294)"
B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Universe: Total population in the United States,"Excludes Block Group (150,258,293,294) and Puerto Rico"
B05001PR,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Universe: Total population in Puerto Rico,"Excludes Block Group (150,258,293,294); Puerto Rico only"
B05002,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,Universe: Total population,"Excludes Block Group (150,258,293,294)"
B05003,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Universe: Total population,"Excludes Block Group (150,258,293,294)"
B05003A,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE),Universe: People who are White alone,"Excludes Block Group (150,258,293,294)"
B05003B,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,"Excludes Block Group (150,258,293,294)"
B05003C,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,"Excludes Block Group (150,258,293,294)"
B05003D,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (ASIAN ALONE),Universe: People who are Asian alone,"Excludes Block Group (150,258,293,294)"
B05003E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,"Excludes Block Group (150,258,293,294)"
B05003F,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,"Excludes Block Group (150,258,293,294)"
