NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,state,county,tract
"Census Tract 7701, Adams County, Ohio",340,40,213,84,3,3163,135,620,1440,404,221,227,116,2408,343,443,390,37,662,537,143,1235,39,1,770100
"Census Tract 7702, Adams County, Ohio",311,24,85,92,110,3300,163,196,1637,419,266,302,317,2941,619,675,670,219,496,472,155,1227,39,1,770200
"Census Tract 7703.01, Adams County, Ohio",259,30,123,106,0,2453,318,77,1038,415,199,298,108,2058,406,457,449,160,423,232,1,1101,39,1,770301
"Census Tract 7703.02, Adams County, Ohio",223,77,51,95,0,2353,180,178,964,413,192,199,227,1995,426,253,231,77,579,575,120,1101,39,1,770302
"Census Tract 7704, Adams County, Ohio",353,25,213,102,13,3039,173,262,1302,591,224,343,144,2604,487,337,310,71,459,368,88,1208,39,1,770400
"Census Tract 7705, Adams County, Ohio",346,3,152,22,169,2435,145,396,1066,370,112,71,275,1894,346,367,334,0,358,277,33,977,39,1,770500
"Census Tract 7706, Adams County, Ohio",258,64,164,30,0,2222,76,391,858,381,199,164,153,1755,317,470,383,108,229,211,41,952,39,1,770600
"Census Tract 101, Allen County, Ohio",576,60,131,344,41,2853,68,45,856,519,269,632,464,2740,1096,360,333,150,504,479,332,974,39,3,010100
"Census Tract 102, Allen County, Ohio",307,52,111,120,24,2967,16,162,1164,599,452,415,159,2789,574,576,551,123,359,320,82,1330,39,3,010200
"Census Tract 103, Allen County, Ohio",184,0,126,58,0,1133,0,46,516,175,211,122,63,1087,185,177,157,27,207,207,42,412,39,3,010300
"Census Tract 106, Allen County, Ohio",210,68,48,79,15,3244,185,248,1356,581,277,374,223,2811,597,445,396,55,577,507,126,1387,39,3,010600
"Census Tract 108.01, Allen County, Ohio",271,82,123,63,3,3300,18,202,1431,653,336,347,313,3080,660,327,319,112,683,596,165,1107,39,3,010801
"Census Tract 108.02, Allen County, Ohio",268,0,27,216,25,2321,212,36,563,338,416,454,302,2073,756,187,180,109,592,580,226,896,39,3,010802
"Census Tract 109, Allen County, Ohio",1349,15,443,832,59,2533,16,60,851,534,318,305,449,2457,754,370,370,77,370,370,106,766,39,3,010900
"Census Tract 110, Allen County, Ohio",576,69,233,239,35,3538,80,134,1422,1041,397,354,110,3324,464,806,806,134,609,586,54,1261,39,3,011000
