STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Tract & County,WF_Present,lat,long
39,153,533400,39153533400,5334,Census Tract 5334,G5020,S,22584762,567690,41.0808416,-81.6157616,153_533400,153_533400,,153_533400,Summit County,"Census Tract 5334, Summit County, Ohio",1,41.085611,-81.616321
39,153,533501,39153533501,5335.01,Census Tract 5335.01,G5020,S,10420025,14222,41.1256541,-81.6616867,153_533501,153_533501,,153_533501,Summit County,"Census Tract 5335.01, Summit County, Ohio",1,41.12481,-81.661531
39,153,533502,39153533502,5335.02,Census Tract 5335.02,G5020,S,21119082,249136,41.0904593,-81.6631372,153_533502,153_533502,,153_533502,Summit County,"Census Tract 5335.02, Summit County, Ohio",1,41.087075,-81.66535
39,035,109301,39035109301,1093.01,Census Tract 1093.01,G5020,S,762868,0,41.4947585,-81.6700295,035_109301,35_109301,,35_109301,Cuyahoga County,"Census Tract 1093.01, Cuyahoga County, Ohio",1,41.494758,-81.670029
39,035,109801,39035109801,1098.01,Census Tract 1098.01,G5020,S,745959,0,41.4874246,-81.6552835,035_109801,35_109801,,35_109801,Cuyahoga County,"Census Tract 1098.01, Cuyahoga County, Ohio",1,41.487425,-81.655284
39,035,196200,39035196200,1962,Census Tract 1962,G5020,S,2021401,0,41.5920932,-81.4959753,035_196200,35_196200,,35_196200,Cuyahoga County,"Census Tract 1962, Cuyahoga County, Ohio",1,41.592093,-81.495975
39,035,196300,39035196300,1963,Census Tract 1963,G5020,S,36518620,495991,41.4560473,-81.422804,035_196300,35_196300,,35_196300,Cuyahoga County,"Census Tract 1963, Cuyahoga County, Ohio",1,41.460823,-81.421734
39,061,005200,39061005200,52,Census Tract 52,G5020,S,1196420,0,39.1509156,-84.4371694,061_005200,61_005200,,61_5200,Hamilton County,"Census Tract 52, Hamilton County, Ohio",1,39.150916,-84.437169
39,061,023901,39061023901,239.01,Census Tract 239.01,G5020,S,4665315,18888,39.2555417,-84.3491076,061_023901,61_023901,,61_23901,Hamilton County,"Census Tract 239.01, Hamilton County, Ohio",1,39.254841,-84.348367
39,113,003100,39113003100,31,Census Tract 31,G5020,S,1015289,10956,39.7261521,-84.1469281,113_003100,113_003100,,113_3100,Montgomery County,"Census Tract 31, Montgomery County, Ohio",1,39.726137,-84.147848
39,113,021700,39113021700,217,Census Tract 217,G5020,S,1958217,0,39.6752083,-84.1342164,113_021700,113_021700,,113_21700,Montgomery County,"Census Tract 217, Montgomery County, Ohio",1,39.675208,-84.134217
39,061,023701,39061023701,237.01,Census Tract 237.01,G5020,S,1190501,0,39.2066669,-84.3981095,061_023701,61_023701,,61_23701,Hamilton County,"Census Tract 237.01, Hamilton County, Ohio",1,39.206667,-84.39811
39,035,195700,39035195700,1957,Census Tract 1957,G5020,S,16112934,184803,41.3615153,-81.4912945,035_195700,35_195700,,35_195700,Cuyahoga County,"Census Tract 1957, Cuyahoga County, Ohio",1,41.364148,-81.489682
39,035,980100,39035980100,9801,Census Tract 9801,G5020,S,2868413,165997,41.4823893,-81.6748324,035_980100,35_980100,,35_980100,Cuyahoga County,"Census Tract 9801, Cuyahoga County, Ohio",1,41.482922,-81.673835
39,113,003201,39113003201,32.01,Census Tract 32.01,G5020,S,1395312,0,39.7250051,-84.158503,113_003201,113_003201,,113_3201,Montgomery County,"Census Tract 32.01, Montgomery County, Ohio",1,39.725005,-84.158503
39,035,107701,39035107701,1077.01,Census Tract 1077.01,G5020,S,1994831,112551,41.4966025,-81.6883982,035_107701,35_107701,,35_107701,Cuyahoga County,"Census Tract 1077.01, Cuyahoga County, Ohio",1,41.497439,-81.688431
39,113,020602,39113020602,206.02,Census Tract 206.02,G5020,S,1620216,0,39.6757612,-84.155572,113_020602,113_020602,,113_20602,Montgomery County,"Census Tract 206.02, Montgomery County, Ohio",1,39.675761,-84.155572
39,113,021800,39113021800,218,Census Tract 218,G5020,S,913483,0,39.6625025,-84.1315472,113_021800,113_021800,,113_21800,Montgomery County,"Census Tract 218, Montgomery County, Ohio",1,39.662503,-84.131547
39,113,002700,39113002700,27,Census Tract 27,G5020,S,967771,0,39.7444237,-84.1343728,113_002700,113_002700,,113_2700,Montgomery County,"Census Tract 27, Montgomery County, Ohio",1,39.744424,-84.134373
39,113,020500,39113020500,205,Census Tract 205,G5020,S,803922,0,39.6844616,-84.163647,113_020500,113_020500,,113_20500,Montgomery County,"Census Tract 205, Montgomery County, Ohio",1,39.684462,-84.163647
39,035,102102,39035102102,1021.02,Census Tract 1021.02,G5020,S,823034,0,41.4517923,-81.7640987,035_102102,35_102102,,35_102102,Cuyahoga County,"Census Tract 1021.02, Cuyahoga County, Ohio",1,41.451792,-81.764099
39,035,102200,39035102200,1022,Census Tract 1022,G5020,S,889240,0,41.457689,-81.755775,035_102200,35_102200,,35_102200,Cuyahoga County,"Census Tract 1022, Cuyahoga County, Ohio",1,41.457689,-81.755775
39,035,102300,39035102300,1023,Census Tract 1023,G5020,S,454665,0,41.4620809,-81.7512284,035_102300,35_102300,,35_102300,Cuyahoga County,"Census Tract 1023, Cuyahoga County, Ohio",1,41.462081,-81.751228
39,035,102700,39035102700,1027,Census Tract 1027,G5020,S,1991456,0,41.4678383,-81.7273468,035_102700,35_102700,,35_102700,Cuyahoga County,"Census Tract 1027, Cuyahoga County, Ohio",1,41.467838,-81.727347
39,035,102800,39035102800,1028,Census Tract 1028,G5020,S,451380,0,41.4660463,-81.7166492,035_102800,35_102800,,35_102800,Cuyahoga County,"Census Tract 1028, Cuyahoga County, Ohio",1,41.466046,-81.716649
39,035,160200,39035160200,1602,Census Tract 1602,G5020,S,491735,0,41.4877825,-81.8164211,035_160200,35_160200,,35_160200,Cuyahoga County,"Census Tract 1602, Cuyahoga County, Ohio",1,41.487783,-81.816421
39,035,161600,39035161600,1616,Census Tract 1616,G5020,S,459445,0,41.4807236,-81.7784046,035_161600,35_161600,,35_161600,Cuyahoga County,"Census Tract 1616, Cuyahoga County, Ohio",1,41.480724,-81.778405
39,035,170101,39035170101,1701.01,Census Tract 1701.01,G5020,S,1683169,0,41.528859,-81.5021863,035_170101,35_170101,,35_170101,Cuyahoga County,"Census Tract 1701.01, Cuyahoga County, Ohio",1,41.528859,-81.502186
39,035,171102,39035171102,1711.02,Census Tract 1711.02,G5020,S,2779762,0,41.4129893,-81.5469889,035_171102,35_171102,,35_171102,Cuyahoga County,"Census Tract 1711.02, Cuyahoga County, Ohio",1,41.412989,-81.546989
39,035,160900,39035160900,1609,Census Tract 1609,G5020,S,1669572,0,41.4729942,-81.8206369,035_160900,35_160900,,35_160900,Cuyahoga County,"Census Tract 1609, Cuyahoga County, Ohio",1,41.472994,-81.820636
39,035,161100,39035161100,1611,Census Tract 1611,G5020,S,907035,0,41.4775854,-81.8084302,035_161100,35_161100,,35_161100,Cuyahoga County,"Census Tract 1611, Cuyahoga County, Ohio",1,41.477586,-81.80843
39,035,161200,39035161200,1612,Census Tract 1612,G5020,S,707146,0,41.477486,-81.8027618,035_161200,35_161200,,35_161200,Cuyahoga County,"Census Tract 1612, Cuyahoga County, Ohio",1,41.477486,-81.802762
39,035,161400,39035161400,1614,Census Tract 1614,G5020,S,932643,0,41.477906,-81.7912518,035_161400,35_161400,,35_161400,Cuyahoga County,"Census Tract 1614, Cuyahoga County, Ohio",1,41.477906,-81.791252
39,035,161500,39035161500,1615,Census Tract 1615,G5020,S,1012091,0,41.4768637,-81.7841469,035_161500,35_161500,,35_161500,Cuyahoga County,"Census Tract 1615, Cuyahoga County, Ohio",1,41.476864,-81.784147
39,035,170201,39035170201,1702.01,Census Tract 1702.01,G5020,S,4371193,13440,41.5134842,-81.5026161,035_170201,35_170201,,35_170201,Cuyahoga County,"Census Tract 1702.01, Cuyahoga County, Ohio",1,41.510256,-81.499265
39,035,170202,39035170202,1702.02,Census Tract 1702.02,G5020,S,2580627,1195,41.5096006,-81.4794201,035_170202,35_170202,,35_170202,Cuyahoga County,"Census Tract 1702.02, Cuyahoga County, Ohio",1,41.51058,-81.479177
39,035,171204,39035171204,1712.04,Census Tract 1712.04,G5020,S,1725487,0,41.4076613,-81.5676344,035_171204,35_171204,,35_171204,Cuyahoga County,"Census Tract 1712.04, Cuyahoga County, Ohio",1,41.407661,-81.567635
39,165,031904,39165031904,319.04,Census Tract 319.04,G5020,S,7001812,0,39.3410955,-84.3311975,165_031904,165_031904,,165_31904,Warren County,"Census Tract 319.04, Warren County, Ohio",1,39.341095,-84.331198
39,035,103800,39035103800,1038,Census Tract 1038,G5020,S,876138,0,41.4743255,-81.711522,035_103800,35_103800,,35_103800,Cuyahoga County,"Census Tract 1038, Cuyahoga County, Ohio",1,41.474326,-81.711522
39,035,172102,39035172102,1721.02,Census Tract 1721.02,G5020,S,1770896,0,41.5257242,-81.453135,035_172102,35_172102,,35_172102,Cuyahoga County,"Census Tract 1721.02, Cuyahoga County, Ohio",1,41.525724,-81.453135
39,049,007397,39049007397,73.97,Census Tract 73.97,G5020,S,3294959,42344,39.988764,-82.8269557,049_007397,49_007397,,49_7397,Franklin County,"Census Tract 73.97, Franklin County, Ohio",1,39.987086,-82.826821
39,049,006992,39049006992,69.92,Census Tract 69.92,G5020,S,924140,0,40.1061497,-82.9729282,049_006992,49_006992,,49_6992,Franklin County,"Census Tract 69.92, Franklin County, Ohio",1,40.10615,-82.972928
39,049,009397,39049009397,93.97,Census Tract 93.97,G5020,S,1844928,3263,39.9516793,-82.8374658,049_009397,49_009397,,49_9397,Franklin County,"Census Tract 93.97, Franklin County, Ohio",1,39.9486,-82.837165
39,049,009394,39049009394,93.94,Census Tract 93.94,G5020,S,1625093,0,39.9593054,-82.8288053,049_009394,49_009394,,49_9394,Franklin County,"Census Tract 93.94, Franklin County, Ohio",1,39.959305,-82.828805
39,035,104400,39035104400,1044,Census Tract 1044,G5020,S,1128445,0,41.4739462,-81.6882362,035_104400,35_104400,,35_104400,Cuyahoga County,"Census Tract 1044, Cuyahoga County, Ohio",1,41.473946,-81.688236
39,035,105300,39035105300,1053,Census Tract 1053,G5020,S,645695,0,41.4584562,-81.7167169,035_105300,35_105300,,35_105300,Cuyahoga County,"Census Tract 1053, Cuyahoga County, Ohio",1,41.458456,-81.716717
39,035,171205,39035171205,1712.05,Census Tract 1712.05,G5020,S,1788878,0,41.3987976,-81.5698293,035_171205,35_171205,,35_171205,Cuyahoga County,"Census Tract 1712.05, Cuyahoga County, Ohio",1,41.398797,-81.569829
39,035,172101,39035172101,1721.01,Census Tract 1721.01,G5020,S,1278499,0,41.5253833,-81.4681882,035_172101,35_172101,,35_172101,Cuyahoga County,"Census Tract 1721.01, Cuyahoga County, Ohio",1,41.525383,-81.468188
39,035,172201,39035172201,1722.01,Census Tract 1722.01,G5020,S,2314272,0,41.5150989,-81.4613473,035_172201,35_172201,,35_172201,Cuyahoga County,"Census Tract 1722.01, Cuyahoga County, Ohio",1,41.515099,-81.461347
39,035,172202,39035172202,1722.02,Census Tract 1722.02,G5020,S,3845009,24687,41.5086847,-81.4445567,035_172202,35_172202,,35_172202,Cuyahoga County,"Census Tract 1722.02, Cuyahoga County, Ohio",1,41.508564,-81.449834
39,035,174107,39035174107,1741.07,Census Tract 1741.07,G5020,S,2130721,0,41.4418553,-81.8840996,035_174107,35_174107,,35_174107,Cuyahoga County,"Census Tract 1741.07, Cuyahoga County, Ohio",1,41.441855,-81.8841
39,153,507502,39153507502,5075.02,Census Tract 5075.02,G5020,S,1561245,0,41.1078286,-81.5171612,153_507502,153_507502,,153_507502,Summit County,"Census Tract 5075.02, Summit County, Ohio",1,41.107829,-81.517161
39,165,032006,39165032006,320.06,Census Tract 320.06,G5020,S,3742711,0,39.3018951,-84.2959295,165_032006,165_032006,,165_32006,Warren County,"Census Tract 320.06, Warren County, Ohio",1,39.301895,-84.295929
39,035,106200,39035106200,1062,Census Tract 1062,G5020,S,1038946,0,41.4361687,-81.7241622,035_106200,35_106200,,35_106200,Cuyahoga County,"Census Tract 1062, Cuyahoga County, Ohio",1,41.436169,-81.724162
39,035,106600,39035106600,1066,Census Tract 1066,G5020,S,1569870,0,41.4254083,-81.7147682,035_106600,35_106600,,35_106600,Cuyahoga County,"Census Tract 1066, Cuyahoga County, Ohio",1,41.425409,-81.714768
39,035,106900,39035106900,1069,Census Tract 1069,G5020,S,1269788,0,41.4288584,-81.6925343,035_106900,35_106900,,35_106900,Cuyahoga County,"Census Tract 1069, Cuyahoga County, Ohio",1,41.428859,-81.692534
39,035,174206,39035174206,1742.06,Census Tract 1742.06,G5020,S,1519604,0,41.4213209,-81.8957162,035_174206,35_174206,,35_174206,Cuyahoga County,"Census Tract 1742.06, Cuyahoga County, Ohio",1,41.421321,-81.895716
39,153,507501,39153507501,5075.01,Census Tract 5075.01,G5020,S,4943996,0,41.1254079,-81.5263791,153_507501,153_507501,,153_507501,Summit County,"Census Tract 5075.01, Summit County, Ohio",1,41.125409,-81.52638
39,035,105400,39035105400,1054,Census Tract 1054,G5020,S,1054648,2694,41.4517527,-81.7102571,035_105400,35_105400,,35_105400,Cuyahoga County,"Census Tract 1054, Cuyahoga County, Ohio",1,41.451626,-81.710043
39,035,105602,39035105602,1056.02,Census Tract 1056.02,G5020,S,1722035,25329,41.4545791,-81.6948823,035_105602,35_105602,,35_105602,Cuyahoga County,"Census Tract 1056.02, Cuyahoga County, Ohio",1,41.451268,-81.694558
39,035,105700,39035105700,1057,Census Tract 1057,G5020,S,1623308,9276,41.440469,-81.693244,035_105700,35_105700,,35_105700,Cuyahoga County,"Census Tract 1057, Cuyahoga County, Ohio",1,41.440757,-81.692334
39,035,105900,39035105900,1059,Census Tract 1059,G5020,S,1543651,817,41.4251582,-81.704201,035_105900,35_105900,,35_105900,Cuyahoga County,"Census Tract 1059, Cuyahoga County, Ohio",1,41.425307,-81.702875
39,035,106100,39035106100,1061,Census Tract 1061,G5020,S,1615662,0,41.4449679,-81.7261131,035_106100,35_106100,,35_106100,Cuyahoga County,"Census Tract 1061, Cuyahoga County, Ohio",1,41.444968,-81.726113
39,035,161000,39035161000,1610,Census Tract 1610,G5020,S,372680,0,41.4814194,-81.8141811,035_161000,35_161000,,35_161000,Cuyahoga County,"Census Tract 1610, Cuyahoga County, Ohio",1,41.481419,-81.814181
39,165,032003,39165032003,320.03,Census Tract 320.03,G5020,S,13411907,581444,39.3294301,-84.2615214,165_032003,165_032003,,165_32003,Warren County,"Census Tract 320.03, Warren County, Ohio",1,39.334565,-84.266136
39,049,007211,39049007211,72.11,Census Tract 72.11,G5020,S,17054829,317428,40.070261,-82.802113,049_007211,49_007211,,49_7211,Franklin County,"Census Tract 72.11, Franklin County, Ohio",1,40.066959,-82.797212
39,049,006241,39049006241,62.41,Census Tract 62.41,G5020,S,8690929,33139,40.07794,-83.1658165,049_006241,49_006241,,49_6241,Franklin County,"Census Tract 62.41, Franklin County, Ohio",1,40.077972,-83.165965
39,049,007103,39049007103,71.03,Census Tract 71.03,G5020,S,1473052,5899,40.0597382,-82.8775834,049_007103,49_007103,,49_7103,Franklin County,"Census Tract 71.03, Franklin County, Ohio",1,40.059573,-82.877375
39,049,007212,39049007212,72.12,Census Tract 72.12,G5020,S,6861997,94568,40.0781506,-82.8264421,049_007212,49_007212,,49_7212,Franklin County,"Census Tract 72.12, Franklin County, Ohio",1,40.078357,-82.829544
39,049,007214,39049007214,72.14,Census Tract 72.14,G5020,S,2168183,15642,40.0856547,-82.8579548,049_007214,49_007214,,49_7214,Franklin County,"Census Tract 72.14, Franklin County, Ohio",1,40.08779,-82.855411
39,049,007101,39049007101,71.01,Census Tract 71.01,G5020,S,2064928,9690,40.1022544,-82.9164744,049_007101,49_007101,,49_7101,Franklin County,"Census Tract 71.01, Franklin County, Ohio",1,40.103412,-82.914553
39,049,007215,39049007215,72.15,Census Tract 72.15,G5020,S,5429325,32929,40.1027952,-82.847222,049_007215,49_007215,,49_7215,Franklin County,"Census Tract 72.15, Franklin County, Ohio",1,40.102379,-82.85082
39,049,006991,39049006991,69.91,Census Tract 69.91,G5020,S,6997011,108904,40.1162217,-82.9625932,049_006991,49_006991,,49_6991,Franklin County,"Census Tract 69.91, Franklin County, Ohio",1,40.120702,-82.957917
39,049,010401,39049010401,104.01,Census Tract 104.01,G5020,S,2575837,77533,40.1327933,-83.1563217,049_010401,49_010401,,49_10401,Franklin County,"Census Tract 104.01, Franklin County, Ohio",1,40.135481,-83.158348
39,113,040406,39113040406,404.06,Census Tract 404.06,G5020,S,13914823,5738,39.5956579,-84.1819779,113_040406,113_040406,,113_40406,Montgomery County,"Census Tract 404.06, Montgomery County, Ohio",1,39.598164,-84.185156
39,113,050104,39113050104,501.04,Census Tract 501.04,G5020,S,2828367,0,39.6432934,-84.2151792,113_050104,113_050104,,113_50104,Montgomery County,"Census Tract 501.04, Montgomery County, Ohio",1,39.643294,-84.215179
39,113,050105,39113050105,501.05,Census Tract 501.05,G5020,S,3912972,0,39.6613929,-84.2130055,113_050105,113_050105,,113_50105,Montgomery County,"Census Tract 501.05, Montgomery County, Ohio",1,39.661393,-84.213006
39,017,011110,39017011110,111.1,Census Tract 111.10,G5020,S,6797425,0,39.3243064,-84.3827935,017_011110,17_011110,,17_11110,Butler County,"Census Tract 111.10, Butler County, Ohio",1,39.324307,-84.382793
39,035,177303,39035177303,1773.03,Census Tract 1773.03,G5020,S,1621432,0,41.4154026,-81.6995368,035_177303,35_177303,,35_177303,Cuyahoga County,"Census Tract 1773.03, Cuyahoga County, Ohio",1,41.415402,-81.699537
39,025,040401,39025040401,404.01,Census Tract 404.01,G5020,S,12984982,530087,39.2214602,-84.3065163,025_040401,25_040401,,25_40401,Clermont County,"Census Tract 404.01, Clermont County, Ohio",1,39.211773,-84.287444
39,017,011109,39017011109,111.09,Census Tract 111.09,G5020,S,9524430,0,39.3443044,-84.3800719,017_011109,17_011109,,17_11109,Butler County,"Census Tract 111.09, Butler County, Ohio",1,39.344305,-84.380065
39,035,120702,39035120702,1207.02,Census Tract 1207.02,G5020,S,622382,0,41.459013,-81.5921528,035_120702,35_120702,,35_120702,Cuyahoga County,"Census Tract 1207.02, Cuyahoga County, Ohio",1,41.459013,-81.592153
39,035,183606,39035183606,1836.06,Census Tract 1836.06,G5020,S,503465,0,41.4608143,-81.550628,035_183606,35_183606,,35_183606,Cuyahoga County,"Census Tract 1836.06, Cuyahoga County, Ohio",1,41.460814,-81.550628
39,035,140900,39035140900,1409,Census Tract 1409,G5020,S,686813,0,41.5068084,-81.5502887,035_140900,35_140900,,35_140900,Cuyahoga County,"Census Tract 1409, Cuyahoga County, Ohio",1,41.506808,-81.550289
39,035,188107,39035188107,1881.07,Census Tract 1881.07,G5020,S,2602380,7667,41.4326982,-81.4989174,035_188107,35_188107,,35_188107,Cuyahoga County,"Census Tract 1881.07, Cuyahoga County, Ohio",1,41.43093,-81.497971
39,035,141602,39035141602,1416.02,Census Tract 1416.02,G5020,S,520524,0,41.4982512,-81.5606625,035_141602,35_141602,,35_141602,Cuyahoga County,"Census Tract 1416.02, Cuyahoga County, Ohio",1,41.498251,-81.560662
39,035,116800,39035116800,1168,Census Tract 1168,G5020,S,873776,0,41.5372685,-81.595309,035_116800,35_116800,,35_116800,Cuyahoga County,"Census Tract 1168, Cuyahoga County, Ohio",1,41.537269,-81.595309
39,035,106800,39035106800,1068,Census Tract 1068,G5020,S,599242,0,41.436105,-81.7026817,035_106800,35_106800,,35_106800,Cuyahoga County,"Census Tract 1068, Cuyahoga County, Ohio",1,41.436105,-81.702682
39,035,104800,39035104800,1048,Census Tract 1048,G5020,S,3282334,119014,41.463117,-81.6824394,035_104800,35_104800,,35_104800,Cuyahoga County,"Census Tract 1048, Cuyahoga County, Ohio",1,41.465114,-81.684482
39,035,140301,39035140301,1403.01,Census Tract 1403.01,G5020,S,722898,0,41.5333598,-81.5602847,035_140301,35_140301,,35_140301,Cuyahoga County,"Census Tract 1403.01, Cuyahoga County, Ohio",1,41.53336,-81.560285
