NAME,S1501_C01_001E: Population 18 to 24 years,S1501_C01_002E: Population 18 to 24 years - Less than high school graduate,S1501_C01_003E: Population 18 to 24 years - High school graduate (includes equivalency),S1501_C01_004E: Population 18 to 24 years - Some college or associate's degree,S1501_C01_005E: Population 18 to 24 years - Bachelor's degree or higher,S1501_C01_006E: Population 25 years and over,S1501_C01_007E: Population 25 years and over - Less than 9th grade,"S1501_C01_008E: Population 25 years and over - 9th to 12th grade, no diploma",S1501_C01_009E: Population 25 years and over - High school graduate (includes equivalency),"S1501_C01_010E: Population 25 years and over - Some college, no degree",S1501_C01_011E: Population 25 years and over - Associate's degree,S1501_C01_012E: Population 25 years and over - Bachelor's degree,S1501_C01_013E: Population 25 years and over - Graduate or professional degree,S1501_C01_014E: Population 25 years and over - High school graduate or higher,S1501_C01_015E: Population 25 years and over - Bachelor's degree or higher,S1501_C01_059E: Population 25 years and over with earnings,S1501_C01_060E: Population 25 years and over with earnings - Less than high school graduate,S1501_C01_061E: Population 25 years and over with earnings - High school graduate (includes equivalency),S1501_C01_062E: Population 25 years and over with earnings - Some college or associate's degree,S1501_C01_063E: Population 25 years and over with earnings - Bachelor's degree,S1501_C01_064E: Population 25 years and over with earnings - Graduate or professional degree,state,county,tract,B01003_001E: Total Population,B11005_001E: Total Households,B11005_002E: Households with one or more people under 18 years,B11005_012E: Family households without people under 18 years,B11005_017E: Nonfamily households without people under 18 years,B06010_002E: No income,B06010_003E: With income,"B06010_004E: $1 to $9,999 or loss","B06010_005E: $10,000 to $14,999","B06010_006E: $15,000 to $24,999","B06010_007E: $25,000 to $34,999","B06010_008E: $35,000 to $49,999","B06010_009E: $50,000 to $64,999","B06010_010E: $65,000 to $74,999","B06010_011E: $75,000 or more",STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Tract & County,WF_Present,lat,long
"Census Tract 111.20, Butler County, Ohio",734,66,218,403,47,4818,92,127,859,856,424,1766,694,4599,2460,55357,17018,32821,49932,71563,101167,39,017,011120,7479,2449,862,1145,442,794,5216,567,376,524,517,749,684,314,1485,,,,,,,,,,,,,,,,,,,,
"Census Tract 111.22, Butler County, Ohio",251,0,57,90,104,3478,26,169,572,554,201,991,965,3283,1956,70257,0,40665,54727,58462,91701,39,017,011122,5276,2045,819,590,636,513,3315,229,162,343,366,449,313,186,1267,,,,,,,,,,,,,,,,,,,,
"Census Tract 111.23, Butler County, Ohio",343,75,122,97,49,3057,110,265,866,691,346,595,184,2682,779,29782,21741,31509,27955,0,52829,39,017,011123,4867,2176,706,393,1077,291,3214,409,296,619,579,550,295,62,404,,,,,,,,,,,,,,,,,,,,
"Census Tract 111.25, Butler County, Ohio",356,19,94,199,44,2572,109,70,373,508,164,973,375,2393,1348,54049,0,27500,41468,71514,83889,39,017,011125,3697,1321,389,594,338,350,2704,536,130,262,248,300,221,251,756,,,,,,,,,,,,,,,,,,,,
"Census Tract 111.26, Butler County, Ohio",688,164,131,259,134,3537,39,65,501,697,188,1375,672,3433,2047,51796,19907,26395,37477,65660,77667,39,017,011126,5273,2174,629,878,667,497,3844,365,103,623,415,627,382,317,1012,39.0,17.0,11126.0,39017011126.0,Census Tract 111.26,G5020,S,4795469.0,48577.0,39.348543,-84.4072237,017_011126,17_011126,,17_11126,Butler County,"Census Tract 111.26, Butler County, Ohio",1.0,39.348234,-84.40567
"Census Tract 111.27, Butler County, Ohio",357,56,122,151,28,3127,35,85,499,681,236,1013,578,3007,1591,57365,30577,41494,41599,70370,81820,39,017,011127,4623,1671,617,625,429,334,3374,587,89,205,335,593,367,195,1003,,,,,,,,,,,,,,,,,,,,
"Census Tract 111.28, Butler County, Ohio",224,19,65,76,64,2041,16,14,329,169,78,878,557,2011,1435,71705,0,41042,44940,73158,109125,39,017,011128,2893,1120,399,436,285,393,2084,292,115,174,117,225,224,96,841,39.0,17.0,11128.0,39017011128.0,Census Tract 111.28,G5020,S,4104060.0,0.0,39.339425,-84.4291173,017_011128,17_011128,,17_11128,Butler County,"Census Tract 111.28, Butler County, Ohio",1.0,39.339425,-84.429118
"Census Tract 111.29, Butler County, Ohio",157,0,31,114,12,3215,0,67,731,473,192,955,797,3148,1752,72560,0,45529,41034,78125,107586,39,017,011129,4819,1795,846,658,291,490,3178,336,200,164,255,378,372,149,1324,,,,,,,,,,,,,,,,,,,,
"Census Tract 111.30, Butler County, Ohio",329,45,90,131,63,3590,98,321,891,433,222,1003,622,3171,1625,50772,17939,50341,40573,71155,61960,39,017,011130,5441,2047,680,688,679,539,3786,542,404,367,385,539,427,181,941,39.0,17.0,11130.0,39017011130.0,Census Tract 111.30,G5020,S,4828246.0,0.0,39.3015002,-84.3697466,017_011130,17_011130,,17_11130,Butler County,"Census Tract 111.30, Butler County, Ohio",1.0,39.3015,-84.369747
"Census Tract 111.31, Butler County, Ohio",285,0,94,79,112,2304,41,38,331,292,182,779,641,2225,1420,63880,25667,50625,69500,64635,77008,39,017,011131,3386,1286,423,552,311,268,2501,289,147,238,203,234,345,137,908,39.0,17.0,11131.0,39017011131.0,Census Tract 111.31,G5020,S,9463377.0,0.0,39.3088162,-84.4123635,017_011131,17_011131,,17_11131,Butler County,"Census Tract 111.31, Butler County, Ohio",1.0,39.308816,-84.412364
