NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_059E,S1501_C01_060E,S1501_C01_061E,S1501_C01_062E,S1501_C01_063E,S1501_C01_064E,state,county,tract
"Census Tract 111.20, Butler County, Ohio",734,66,218,403,47,4818,92,127,859,856,424,1766,694,4599,2460,55357,17018,32821,49932,71563,101167,39,017,011120
"Census Tract 111.22, Butler County, Ohio",251,0,57,90,104,3478,26,169,572,554,201,991,965,3283,1956,70257,0,40665,54727,58462,91701,39,017,011122
"Census Tract 111.23, Butler County, Ohio",343,75,122,97,49,3057,110,265,866,691,346,595,184,2682,779,29782,21741,31509,27955,0,52829,39,017,011123
"Census Tract 111.25, Butler County, Ohio",356,19,94,199,44,2572,109,70,373,508,164,973,375,2393,1348,54049,0,27500,41468,71514,83889,39,017,011125
"Census Tract 111.26, Butler County, Ohio",688,164,131,259,134,3537,39,65,501,697,188,1375,672,3433,2047,51796,19907,26395,37477,65660,77667,39,017,011126
"Census Tract 111.27, Butler County, Ohio",357,56,122,151,28,3127,35,85,499,681,236,1013,578,3007,1591,57365,30577,41494,41599,70370,81820,39,017,011127
"Census Tract 111.28, Butler County, Ohio",224,19,65,76,64,2041,16,14,329,169,78,878,557,2011,1435,71705,0,41042,44940,73158,109125,39,017,011128
"Census Tract 111.29, Butler County, Ohio",157,0,31,114,12,3215,0,67,731,473,192,955,797,3148,1752,72560,0,45529,41034,78125,107586,39,017,011129
"Census Tract 111.30, Butler County, Ohio",329,45,90,131,63,3590,98,321,891,433,222,1003,622,3171,1625,50772,17939,50341,40573,71155,61960,39,017,011130
"Census Tract 111.31, Butler County, Ohio",285,0,94,79,112,2304,41,38,331,292,182,779,641,2225,1420,63880,25667,50625,69500,64635,77008,39,017,011131
"Census Tract 111.32, Butler County, Ohio",231,38,86,84,23,2367,36,2,379,345,168,1056,381,2329,1437,75434,0,36125,38345,81838,81500,39,017,011132
"Census Tract 111.33, Butler County, Ohio",152,0,46,59,47,2316,0,28,277,383,158,969,501,2288,1470,82063,0,80529,59888,101364,88304,39,017,011133
"Census Tract 111.34, Butler County, Ohio",531,29,82,402,18,4671,47,118,1107,1095,511,1083,710,4506,1793,53750,36000,36610,60151,73967,107063,39,017,011134
"Census Tract 111.35, Butler County, Ohio",391,11,280,100,0,3615,21,57,948,499,211,1232,647,3537,1879,64704,0,37040,41339,100533,131521,39,017,011135
"Census Tract 111.36, Butler County, Ohio",818,36,157,510,115,3318,50,25,463,786,291,959,744,3243,1703,54832,0,47938,31137,80926,91250,39,017,011136
"Census Tract 111.37, Butler County, Ohio",358,0,305,53,0,1996,57,72,356,225,184,778,324,1867,1102,55691,40363,57946,41991,56445,96750,39,017,011137
"Census Tract 112, Butler County, Ohio",584,54,251,195,84,5466,68,91,1545,1130,710,1159,763,5307,1922,53107,48750,36332,55167,62849,64801,39,017,011200
"Census Tract 113, Butler County, Ohio",336,29,215,38,54,4149,80,313,1350,1043,455,641,267,3756,908,50561,40385,37115,47529,63598,100526,39,017,011300
"Census Tract 118, Butler County, Ohio",571,125,352,73,21,3978,22,188,1730,1026,304,534,174,3768,708,46667,53833,38341,46218,62926,77050,39,017,011800
