NAME,B01003_001E,B11005_001E,B11005_002E,B11005_012E,B11005_017E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,state,county,tract
"Census Tract 111.20, Butler County, Ohio",7479.0,2449.0,862.0,1145.0,442.0,794.0,5216.0,567.0,376.0,524.0,517.0,749.0,684.0,314.0,1485.0,39,017,011120
"Census Tract 111.22, Butler County, Ohio",5276.0,2045.0,819.0,590.0,636.0,513.0,3315.0,229.0,162.0,343.0,366.0,449.0,313.0,186.0,1267.0,39,017,011122
"Census Tract 111.23, Butler County, Ohio",4867.0,2176.0,706.0,393.0,1077.0,291.0,3214.0,409.0,296.0,619.0,579.0,550.0,295.0,62.0,404.0,39,017,011123
"Census Tract 111.25, Butler County, Ohio",3697.0,1321.0,389.0,594.0,338.0,350.0,2704.0,536.0,130.0,262.0,248.0,300.0,221.0,251.0,756.0,39,017,011125
"Census Tract 111.26, Butler County, Ohio",5273.0,2174.0,629.0,878.0,667.0,497.0,3844.0,365.0,103.0,623.0,415.0,627.0,382.0,317.0,1012.0,39,017,011126
"Census Tract 111.27, Butler County, Ohio",4623.0,1671.0,617.0,625.0,429.0,334.0,3374.0,587.0,89.0,205.0,335.0,593.0,367.0,195.0,1003.0,39,017,011127
"Census Tract 111.28, Butler County, Ohio",2893.0,1120.0,399.0,436.0,285.0,393.0,2084.0,292.0,115.0,174.0,117.0,225.0,224.0,96.0,841.0,39,017,011128
"Census Tract 111.29, Butler County, Ohio",4819.0,1795.0,846.0,658.0,291.0,490.0,3178.0,336.0,200.0,164.0,255.0,378.0,372.0,149.0,1324.0,39,017,011129
"Census Tract 111.30, Butler County, Ohio",5441.0,2047.0,680.0,688.0,679.0,539.0,3786.0,542.0,404.0,367.0,385.0,539.0,427.0,181.0,941.0,39,017,011130
"Census Tract 111.31, Butler County, Ohio",3386.0,1286.0,423.0,552.0,311.0,268.0,2501.0,289.0,147.0,238.0,203.0,234.0,345.0,137.0,908.0,39,017,011131
"Census Tract 111.32, Butler County, Ohio",3662.0,1255.0,565.0,511.0,179.0,316.0,2497.0,393.0,76.0,141.0,241.0,239.0,288.0,133.0,986.0,39,017,011132
"Census Tract 111.33, Butler County, Ohio",3902.0,1251.0,708.0,268.0,275.0,296.0,2412.0,283.0,60.0,95.0,219.0,191.0,191.0,273.0,1100.0,39,017,011133
"Census Tract 111.34, Butler County, Ohio",6746.0,2475.0,909.0,1211.0,355.0,561.0,4977.0,617.0,284.0,252.0,360.0,905.0,469.0,276.0,1814.0,39,017,011134
"Census Tract 111.35, Butler County, Ohio",5992.0,1994.0,1053.0,597.0,344.0,532.0,3826.0,475.0,186.0,380.0,176.0,609.0,487.0,167.0,1346.0,39,017,011135
"Census Tract 111.36, Butler County, Ohio",5536.0,1573.0,748.0,692.0,133.0,530.0,3948.0,522.0,172.0,549.0,585.0,433.0,377.0,120.0,1190.0,39,017,011136
"Census Tract 111.37, Butler County, Ohio",3233.0,984.0,456.0,471.0,57.0,404.0,2190.0,307.0,115.0,206.0,280.0,265.0,192.0,57.0,768.0,39,017,011137
"Census Tract 112, Butler County, Ohio",8314.0,2972.0,1076.0,1100.0,796.0,652.0,5915.0,518.0,341.0,789.0,718.0,1057.0,801.0,405.0,1286.0,39,017,011200
"Census Tract 113, Butler County, Ohio",6173.0,2149.0,807.0,837.0,505.0,472.0,4281.0,629.0,164.0,777.0,570.0,498.0,582.0,226.0,835.0,39,017,011300
"Census Tract 118, Butler County, Ohio",5998.0,2070.0,820.0,833.0,417.0,758.0,4332.0,464.0,427.0,499.0,537.0,740.0,995.0,182.0,488.0,39,017,011800
"Census Tract 121, Butler County, Ohio",3019.0,1126.0,414.0,434.0,278.0,193.0,2068.0,440.0,176.0,236.0,235.0,193.0,252.0,158.0,378.0,39,017,012100
"Census Tract 122, Butler County, Ohio",3490.0,1400.0,499.0,280.0,621.0,369.0,2461.0,448.0,255.0,510.0,523.0,484.0,173.0,0.0,68.0,39,017,012200
"Census Tract 123, Butler County, Ohio",2058.0,1021.0,191.0,366.0,464.0,130.0,1618.0,282.0,141.0,281.0,204.0,329.0,280.0,30.0,71.0,39,017,012300
"Census Tract 124, Butler County, Ohio",2541.0,1022.0,276.0,416.0,330.0,164.0,1989.0,266.0,191.0,274.0,250.0,257.0,255.0,87.0,409.0,39,017,012400
"Census Tract 125, Butler County, Ohio",4841.0,1939.0,575.0,848.0,516.0,341.0,3676.0,534.0,434.0,280.0,342.0,591.0,571.0,215.0,709.0,39,017,012500
"Census Tract 126, Butler County, Ohio",2416.0,1176.0,205.0,324.0,647.0,156.0,1975.0,167.0,186.0,482.0,160.0,302.0,242.0,82.0,354.0,39,017,012600
"Census Tract 127, Butler County, Ohio",3280.0,1222.0,408.0,419.0,395.0,304.0,2356.0,440.0,208.0,442.0,354.0,444.0,255.0,110.0,103.0,39,017,012700
"Census Tract 130, Butler County, Ohio",1604.0,604.0,269.0,159.0,176.0,119.0,1067.0,152.0,266.0,229.0,188.0,112.0,35.0,6.0,79.0,39,017,013000
"Census Tract 131, Butler County, Ohio",2294.0,764.0,351.0,165.0,248.0,320.0,1315.0,300.0,220.0,381.0,158.0,196.0,26.0,0.0,34.0,39,017,013100
"Census Tract 132, Butler County, Ohio",3515.0,1315.0,376.0,345.0,594.0,393.0,2305.0,407.0,280.0,542.0,492.0,299.0,189.0,22.0,74.0,39,017,013200
"Census Tract 133, Butler County, Ohio",2204.0,960.0,198.0,450.0,312.0,137.0,1817.0,195.0,236.0,235.0,248.0,344.0,224.0,71.0,264.0,39,017,013300
"Census Tract 134, Butler County, Ohio",2099.0,950.0,210.0,310.0,430.0,189.0,1605.0,247.0,159.0,317.0,326.0,272.0,119.0,88.0,77.0,39,017,013400
"Census Tract 135, Butler County, Ohio",2891.0,1120.0,382.0,426.0,312.0,241.0,2098.0,477.0,283.0,481.0,166.0,377.0,146.0,72.0,96.0,39,017,013500
"Census Tract 136, Butler County, Ohio",4135.0,1933.0,425.0,660.0,848.0,247.0,3314.0,729.0,490.0,841.0,573.0,347.0,108.0,113.0,113.0,39,017,013600
"Census Tract 139, Butler County, Ohio",2643.0,1081.0,293.0,331.0,457.0,263.0,1903.0,420.0,289.0,332.0,254.0,427.0,76.0,16.0,89.0,39,017,013900
"Census Tract 140, Butler County, Ohio",2662.0,1036.0,454.0,219.0,363.0,319.0,1449.0,452.0,174.0,241.0,160.0,196.0,69.0,29.0,128.0,39,017,014000
"Census Tract 141, Butler County, Ohio",2255.0,796.0,265.0,310.0,221.0,354.0,1386.0,363.0,115.0,249.0,153.0,255.0,184.0,30.0,37.0,39,017,014100
"Census Tract 143, Butler County, Ohio",5441.0,1938.0,735.0,776.0,427.0,471.0,3756.0,430.0,372.0,516.0,443.0,730.0,415.0,231.0,619.0,39,017,014300
"Census Tract 144, Butler County, Ohio",2017.0,1019.0,200.0,123.0,696.0,183.0,1333.0,395.0,274.0,270.0,221.0,138.0,35.0,0.0,0.0,39,017,014400
"Census Tract 146, Butler County, Ohio",997.0,484.0,48.0,132.0,304.0,46.0,858.0,237.0,96.0,140.0,84.0,142.0,90.0,31.0,38.0,39,017,014600
"Census Tract 147, Butler County, Ohio",4043.0,1520.0,581.0,303.0,636.0,329.0,2949.0,304.0,282.0,653.0,787.0,446.0,237.0,139.0,101.0,39,017,014700
"Census Tract 148, Butler County, Ohio",7489.0,2773.0,1013.0,927.0,833.0,799.0,4889.0,462.0,363.0,1084.0,971.0,786.0,800.0,112.0,311.0,39,017,014800
"Census Tract 149, Butler County, Ohio",5643.0,1859.0,689.0,697.0,473.0,390.0,4058.0,597.0,424.0,357.0,856.0,490.0,373.0,224.0,737.0,39,017,014900
"Census Tract 150, Butler County, Ohio",7396.0,2708.0,880.0,1363.0,465.0,621.0,5384.0,826.0,341.0,971.0,536.0,964.0,771.0,263.0,712.0,39,017,015000
"Census Tract 151, Butler County, Ohio",7536.0,2413.0,1184.0,703.0,526.0,943.0,4698.0,569.0,334.0,549.0,937.0,855.0,689.0,251.0,514.0,39,017,015100
"Census Tract 7201, Carroll County, Ohio",2861.0,1049.0,314.0,368.0,367.0,307.0,1924.0,362.0,106.0,305.0,283.0,333.0,238.0,143.0,154.0,39,019,720100
"Census Tract 7202, Carroll County, Ohio",3258.0,1344.0,368.0,574.0,402.0,288.0,2390.0,441.0,170.0,395.0,449.0,367.0,294.0,134.0,140.0,39,019,720200
"Census Tract 7203, Carroll County, Ohio",5210.0,2458.0,572.0,816.0,1070.0,461.0,3931.0,716.0,304.0,613.0,609.0,757.0,303.0,102.0,527.0,39,019,720300
"Census Tract 320, Fairfield County, Ohio",3387.0,1399.0,498.0,279.0,622.0,447.0,2446.0,544.0,235.0,609.0,259.0,523.0,107.0,64.0,105.0,39,045,032000
"Census Tract 321, Fairfield County, Ohio",3288.0,1295.0,449.0,474.0,372.0,216.0,2333.0,405.0,161.0,397.0,312.0,492.0,223.0,61.0,282.0,39,045,032100
"Census Tract 322, Fairfield County, Ohio",3152.0,1234.0,423.0,410.0,401.0,453.0,2201.0,398.0,207.0,611.0,268.0,273.0,183.0,119.0,142.0,39,045,032200
